symbol,exchange,date
AA,NY,2016-11-01
AA,NY,2016-11-02
AA,NY,2016-11-03
AA,NY,2016-11-04
AA,NY,2016-11-07
AA,NY,2016-11-08
AA,NY,2016-11-09
AA,NY,2016-11-09
AA,NY,2016-11-09
AA,NY,2016-11-09
AA,NY,2016-11-09
AA,NY,2016-11-09
AA,NY,2016-11-09
AA,NY,2016-11-09
ABC,NY,2016-11-08
AGN,NY,2016-11-09
ALXN,NAS,2016-11-08
ALXN,NAS,2016-11-09
ALXN,NAS,2016-11-14
ALXN,NAS,2016-12-12
ALXN,NAS,2016-12-13
ALXN,NAS,2016-12-14
APA,NY,2016-09-08
BHI,NY,2016-10-31
CF,NY,2016-08-04
CF,NY,2016-08-05
CF,NY,2016-08-08
CF,NY,2016-08-09
CF,NY,2016-08-23
CF,NY,2016-09-14
CF,NY,2016-11-03
CF,NY,2016-11-08
CF,NY,2016-11-09
CHK,NY,2016-08-01
CHK,NY,2016-08-02
CHK,NY,2016-08-03
CHK,NY,2016-08-04
CHK,NY,2016-08-05
CHK,NY,2016-08-08
CHK,NY,2016-08-09
CHK,NY,2016-08-15
CHK,NY,2016-08-16
CHK,NY,2016-08-17
CHK,NY,2016-08-18
CHK,NY,2016-08-19
CHK,NY,2016-08-22
CHK,NY,2016-08-23
CHK,NY,2016-08-24
CHK,NY,2016-08-25
CHK,NY,2016-09-08
CHK,NY,2016-09-09
CHK,NY,2016-09-12
CHK,NY,2016-09-13
CHK,NY,2016-09-14
CHK,NY,2016-09-15
CHK,NY,2016-09-16
CHK,NY,2016-09-19
CHK,NY,2016-09-20
CHK,NY,2016-09-21
CHK,NY,2016-09-27
CHK,NY,2016-09-28
CHK,NY,2016-09-29
CHK,NY,2016-09-30
CHK,NY,2016-10-03
CHK,NY,2016-10-05
CHK,NY,2016-10-06
CHK,NY,2016-10-07
CHK,NY,2016-10-13
CHK,NY,2016-10-17
CHK,NY,2016-10-20
CHK,NY,2016-10-21
CHK,NY,2016-10-24
CHK,NY,2016-10-25
CHK,NY,2016-10-26
CHK,NY,2016-10-27
CHK,NY,2016-10-28
CHK,NY,2016-10-31
CHK,NY,2016-11-01
CHK,NY,2016-11-02
CHK,NY,2016-11-03
CHK,NY,2016-11-04
CHK,NY,2016-11-07
CHK,NY,2016-11-08
CHK,NY,2016-11-09
CHK,NY,2016-11-10
CHK,NY,2016-11-11
CHK,NY,2016-11-14
CHK,NY,2016-11-15
CHK,NY,2016-11-16
CHK,NY,2016-11-17
CHK,NY,2016-11-21
CHK,NY,2016-11-29
CHK,NY,2016-11-30
CHK,NY,2016-12-01
CHK,NY,2016-12-06
CHK,NY,2016-12-07
CHK,NY,2016-12-12
CHK,NY,2016-12-13
CHK,NY,2016-12-14
CHK,NY,2016-12-15
COG,NY,2016-11-09
COG,NY,2016-11-09
COG,NY,2016-11-09
COG,NY,2016-11-09
COG,NY,2016-11-09
COG,NY,2016-11-09
COG,NY,2016-11-09
COG,NY,2016-11-09
COG,NY,2016-11-09
COG,NY,2016-11-09
COG,NY,2016-11-09
COG,NY,2016-11-09
COG,NY,2016-11-09
COG,NY,2016-11-09
COG,NY,2016-11-09
COG,NY,2016-11-09
CTL,NY,2016-10-31
CTL,NY,2016-11-08
CVS,NY,2016-11-08
DVN,NY,2016-08-01
DVN,NY,2016-09-28
ENDP,NAS,2016-08-09
ENDP,NAS,2016-08-10
ENDP,NAS,2016-08-24
ENDP,NAS,2016-08-25
ENDP,NAS,2016-08-26
ENDP,NAS,2016-08-29
ENDP,NAS,2016-09-09
ENDP,NAS,2016-09-12
ENDP,NAS,2016-09-14
